Date,Price,Daily Return,Daily Risk-Free Rate,Rolling Daily Sharpe,Rolling Annualized Sharpe
2025-05-28,23258.31,-0.53%,0.0118%,N/A,N/A
2025-05-29,23573.38,1.35%,0.0118%,N/A,N/A
2025-05-30,23289.77,-1.20%,0.0118%,N/A,N/A
2025-06-02,23157.97,-0.57%,0.0118%,N/A,N/A
2025-06-03,23512.49,1.53%,0.0118%,N/A,N/A
2025-06-04,23654.03,0.60%,0.0118%,N/A,N/A
2025-06-05,23906.97,1.07%,0.0118%,N/A,N/A
2025-06-06,23792.54,-0.48%,0.0118%,N/A,N/A
2025-06-09,24181.43,1.63%,0.0118%,N/A,N/A
2025-06-10,24162.87,-0.08%,0.0118%,N/A,N/A
2025-06-11,24366.94,0.84%,0.0118%,N/A,N/A
2025-06-12,24035.38,-1.36%,0.0119%,N/A,N/A
2025-06-13,23892.56,-0.59%,0.0118%,N/A,N/A
2025-06-16,24060.99,0.70%,0.0118%,N/A,N/A
2025-06-17,23980.3,-0.34%,0.0118%,N/A,N/A
2025-06-18,23710.69,-1.12%,0.0118%,N/A,N/A
2025-06-19,23237.74,-1.99%,0.0118%,N/A,N/A
2025-06-20,23530.48,1.26%,0.0117%,N/A,N/A
2025-06-23,23689.13,0.67%,0.0116%,N/A,N/A
2025-06-24,24177.07,2.06%,0.0116%,N/A,N/A
2025-06-25,24474.67,1.23%,0.0116%,N/A,N/A
2025-06-26,24325.4,-0.61%,0.0116%,0.1535,2.4369
